MAR,SCHL,WAGP,ESR,RAC1P
1,16,000000,3,1
5,12,000000,,1
5,03,,,1
1,20,034000,1,1
1,21,085000,1,6
5,21,000000,6,8
1,23,316000,1,1
1,21,000000,6,1
5,21,001400,6,1
2,21,000000,6,1
3,20,020000,1,1
1,19,036000,1,1
1,16,048000,1,1
5,11,000000,,1
5,09,,,1
5,09,,,1
1,21,000000,1,1
1,18,015000,1,1
5,12,000000,6,1
5,09,,,1
5,19,010000,3,5
1,19,001500,6,1
1,19,007000,1,1
5,19,002500,6,1
5,14,000000,6,1
5,12,000000,6,1
5,08,,,1
5,06,,,2
5,,,,1
5,09,000000,6,1
5,16,000000,6,1
5,13,000000,6,1
5,16,050000,3,1
5,16,035000,1,1
3,12,002600,1,1
5,22,070000,1,2
5,22,085000,1,2
5,17,001900,1,1
5,09,,,2
5,05,,,1
5,04,,,1
5,17,000400,6,1
5,17,000000,6,1
5,14,000000,6,1
5,14,000000,6,1
5,01,012000,1,8
5,16,011000,1,8
5,05,016000,1,8
2,21,000000,6,1
3,21,060000,1,1
1,22,316000,1,1
1,21,000000,6,1
5,06,,,1
1,20,020000,3,1
1,20,052000,1,1
1,17,000000,6,1
1,19,040000,1,1
5,05,,,1
5,11,000000,,1
1,19,051000,6,1
1,20,006000,1,1
1,21,000000,6,1
1,16,000000,6,1
1,22,098000,1,1
1,21,070000,1,1
3,22,000000,6,1
1,22,065000,1,1
1,19,018500,1,1
1,21,000000,6,1
1,21,000000,6,1
1,21,058000,2,1
1,21,000000,6,1
3,22,000000,6,9
3,14,000000,6,1
1,23,100000,1,1
1,24,000000,1,1
5,14,000000,6,1
5,11,000000,,1
1,21,070000,1,1
1,22,014400,1,1
3,22,092000,1,1
1,21,055000,1,1
1,21,065000,1,1
1,21,085000,1,1
1,20,065000,2,1
5,11,,,1
5,,,,1
5,21,070000,1,1
5,21,026000,3,1
1,19,050000,1,6
1,21,023000,1,6
5,04,,,6
5,01,,,6
1,16,019200,1,1
1,18,034000,1,9
3,24,000000,6,1
1,19,009600,2,1
1,21,069000,1,1
2,16,000000,6,1
1,21,055000,1,1
1,16,048000,1,1
1,18,060000,1,1
1,18,035000,1,1
5,18,000000,6,1
1,20,000000,6,1
1,19,000000,6,1
3,16,000000,6,1
5,14,031000,1,1
3,17,021000,6,1
5,03,,,1
1,18,056000,1,1
1,16,029000,1,1
5,05,,,1
5,02,,,1
1,16,000000,6,1
1,21,024800,1,1
1,18,000000,6,1
1,18,000000,6,1
3,21,075000,1,1
3,16,008000,1,1
5,12,000000,,1
5,16,027000,1,1
5,19,009500,1,1
5,19,000000,6,1
5,19,008200,1,1
5,20,040000,1,1
1,21,006000,3,1
1,22,009900,3,1
5,14,000000,6,1
5,12,000000,6,1
5,11,000000,,1
5,10,,,1
5,09,,,1
5,05,,,1
5,02,,,1
5,07,,,1
1,21,030000,1,1
1,21,040000,1,1
2,21,000000,6,1
1,23,113000,1,1
1,16,045000,1,1
5,04,,,1
1,21,100000,1,1
1,21,011000,3,1
1,16,055000,1,1
1,19,080000,1,1
5,11,,,1
1,22,062000,1,1
1,21,062000,1,1
1,21,005000,1,1
1,21,007500,6,6
1,15,055000,1,1
1,16,024000,1,1
5,14,035000,1,1
5,16,000000,6,1
5,,,,1
5,21,072000,1,1
5,20,014000,1,1
3,20,050000,1,1
2,16,000000,6,1
2,18,010300,1,1
1,16,042000,4,1
1,18,000000,3,1
1,23,100000,1,1
1,22,006000,1,1
5,17,030000,1,1
5,16,000000,6,1
1,19,000000,6,1
1,21,000000,6,1
1,21,085000,1,1
1,16,000000,6,1
1,17,000000,6,1
1,14,000000,6,1
3,21,021400,6,1
3,14,000000,6,9
5,02,,,9
1,16,057000,1,1
1,19,011000,2,1
5,16,001100,6,1
5,09,000000,6,1
5,03,,,1
5,01,,,1
5,09,085000,1,1
1,21,010000,1,1
1,19,045000,1,1
1,18,032300,6,9
1,18,000000,6,1
5,,,,9
3,19,021400,1,1
1,21,000000,6,1
1,19,041000,1,1
3,21,000000,1,1
1,21,000000,6,1
1,20,150000,1,1
5,03,,,1
5,02,,,1
4,21,000000,6,9
1,17,003400,3,1
1,19,000000,3,1
1,16,000000,1,1
1,16,000000,6,1
5,16,000000,6,1
1,16,000000,1,1
1,16,004000,1,1
1,16,000400,1,1
1,16,015000,1,1
5,,,,1
1,22,040000,1,1
1,21,003600,1,1
3,21,057000,1,1
5,15,016800,1,1
5,19,008000,1,1
5,14,005400,1,1
5,,,,1
1,20,078000,1,1
1,18,000000,6,1
5,06,,,1
5,03,,,1
5,01,,,1
1,18,040000,4,1
1,21,055000,1,1
3,16,025000,1,2
